Organism ID,Sequence ID,Organism,Barcode Layout,Barcode plate
OM_1024670,SPN_0286_GPS_R,SPN,A01,IDT-15156265
1013680_OM,SPN_0223_GPS_R,SPN,B01,IDT-15156265
1015830_OM,SPN_0273_GPS_R,SPN,C01,IDT-15156265
1043602,SPN_0304_GPS,SPN,E01,IDT-15156265
1038012,SPN_0305_GPS,SPN,A02,IDT-15156265
1029132,SPN_0306_GPS,SPN,B02,IDT-15156265
1029501,SPN_0307_GPS,SPN,C02,IDT-15156265
1029652,SPN_0308_GPS,SPN,D02,IDT-15156265
1030911,SPN_0309_GPS,SPN,E02,IDT-15156265
1018010,SPN_0310_GPS,SPN,F02,IDT-15156265
1007420,SPN_0311_GPS,SPN,G02,IDT-15156265
1024700,SPN_0312_GPS,SPN,H02,IDT-15156265
1030640,SPN_0313_GPS,SPN,F01,IDT-15156265
1006880,SPN_0314_GPS,SPN,G01,IDT-15156265
1059261,SPN_0315_GPS,SPN,A03,IDT-15156265
1025170,SPN_0316_GPS,SPN,B03,IDT-15156265
1015780_OM,SPN_0272_GPS_R,SPN,H01,IDT-15156265
1018430,SPN_0317_GPS,SPN,C03,IDT-15156265
1014820,SPN_0318_GPS,SPN,D03,IDT-15156265
1015250,SPN_0319_GPS,SPN,E03,IDT-15156265
1018210,SPN_0320_GPS,SPN,F03,IDT-15156265
1026121,SPN_0321_GPS,SPN,G03,IDT-15156265
1040311,SPN_0322_GPS,SPN,A04,IDT-15156265
1038521,SPN_0323_GPS,SPN,B04,IDT-15156265
1025901,SPN_0324_GPS,SPN,C04,IDT-15156265
1019751,SPN_0325_GPS,SPN,D04,IDT-15156265
1044641,SPN_0326_GPS,SPN,E04,IDT-15156265
1045001,SPN_0327_GPS,SPN,F04,IDT-15156265
1052271,SPN_0328_GPS,SPN,G04,IDT-15156265
1024110,SPN_0329_GPS,SPN,H04,IDT-15156265
1036711,SPN_0330_GPS,SPN,A05,IDT-15156265
1029080,SPN_0331_GPS,SPN,B05,IDT-15156265
1037741,SPN_0332_GPS,SPN,C05,IDT-15156265
1037751,SPN_0333_GPS,SPN,H03,IDT-15156265
1033490,SPN_0334_GPS,SPN,E05,IDT-15156265
1028280,SPN_0335_GPS,SPN,F05,IDT-15156265
104152,SPN_0336_GPS,SPN,G05,IDT-15156265
1030462,SPN_0337_GPS,SPN,H05,IDT-15156265
1021601,SPN_0338_GPS,SPN,A06,IDT-15156265
1024120,SPN_0339_GPS,SPN,B06,IDT-15156265
1023460,SPN_0340_GPS,SPN,C06,IDT-15156265
1024040,SPN_0341_GPS,SPN,D06,IDT-15156265
1025961,SPN_0342_GPS,SPN,E06,IDT-15156265
1019841,SPN_0343_GPS,SPN,F06,IDT-15156265
1031261,SPN_0344_GPS,SPN,A07,IDT-15156265
1038071,SPN_0345_GPS,SPN,B07,IDT-15156265
1056981,SPN_0346_GPS,SPN,C07,IDT-15156265
1027870,SPN_0347_GPS,SPN,D07,IDT-15156265
1019981,SPN_0348_GPS,SPN,E07,IDT-15156265
1039511,SPN_0349_GPS,SPN,F07,IDT-15156265
1024911,SPN_0350_GPS,SPN,G07,IDT-15156265
1039191,SPN_0351_GPS,SPN,H07,IDT-15156265
22302003481,STY_0123,STY,A10,IDT-15156265
22302006981,STY_0124,STY,B10,IDT-15156265
12302000701,STY_0125,STY,C10,IDT-15156265
12302000721,STY_0126,STY,D10,IDT-15156265
12302008881,STY_0127,STY,E10,IDT-15156265
22301007971,STY_0128,STY,F10,IDT-15156265
12302008591,STY_0129,STY,G10,IDT-15156265
12301010851,STY_0130,STY,H10,IDT-15156265
12301028471,STY_0131,STY,A12,IDT-15156265
22212010911,STY_0132,STY,B12,IDT-15156265
22212011611,STY_0133,STY,C12,IDT-15156265
22301003261,STY_0134,STY,D12,IDT-15156265
12212012551,STY_0135,STY,E12,IDT-15156265
12212021621,STY_0136,STY,F12,IDT-15156265
12212027301,STY_0137,STY,G12,IDT-15156265
12301003511,STY_0138,STY,H12,IDT-15156265
12301004771,STY_0139,STY,A01,IDT-1446944+945
22212006101,STY_0140,STY,B01,IDT-1446944+945
22212004521,STY_0141,STY,C01,IDT-1446944+945
22212008151,STY_0142,STY,D01,IDT-1446944+945
12211029191,STY_0143,STY,E01,IDT-1446944+945
12211033041,STY_0144,STY,F01,IDT-1446944+945
12212002541,STY_0145,STY,H01,IDT-1446944+945
12212003772,STY_0146,STY,A02,IDT-1446944+945
22211010601,STY_0147,STY,B02,IDT-1446944+945
12211021492,STY_0148,STY,C02,IDT-1446944+945
22210020121,STY_0149,STY,D02,IDT-1446944+945
22211001491,STY_0150,STY,E02,IDT-1446944+945
22211003541,STY_0151,STY,F02,IDT-1446944+945
22211007211,STY_0152,STY,G02,IDT-1446944+945
22211003751,STY_0153,STY,H02,IDT-1446944+945
22211007151,STY_0154,STY,A03,IDT-1446944+945
12210022541,STY_0155,STY,B03,IDT-1446944+945
12210028962,STY_0156,STY,C03,IDT-1446944+945
12211013761,STY_0157,STY,D03,IDT-1446944+945
12211013691,STY_0158,STY,E03,IDT-1446944+945
12211011701,STY_0159,STY,F03,IDT-1446944+945
12211013182,STY_0160,STY,G03,IDT-1446944+945
12210000693,STY_0161,STY,H03,IDT-1446944+945
12210010141,STY_0162,STY,A04,IDT-1446944+945
22209013081,STY_0163,STY,B04,IDT-1446944+945
22210001871,STY_0164,STY,C04,IDT-1446944+945
22210002281,STY_0165,STY,D04,IDT-1446944+945
22209012771,STY_0166,STY,E04,IDT-1446944+945
22210006211,STY_0167,STY,F04,IDT-1446944+945
12210002051,STY_0168,STY,G04,IDT-1446944+945
12209022262,STY_0169,STY,H04,IDT-1446944+945
12209026651,STY_0170,STY,A05,IDT-1446944+945
22209006031,STY_0171,STY,B05,IDT-1446944+945
12209025171,STY_0172,STY,C05,IDT-1446944+945
12208021821,STY_0173,STY,E05,IDT-1446944+945
12208027701,STY_0174,STY,F05,IDT-1446944+945
22208006861,STY_0175,STY,G05,IDT-1446944+945
22208010171,STY_0176,STY,G12,IDT-1446944+945
22207015931,STY_0177,STY,H12,IDT-1446944+945
12208037562,STY_0178,STY,G09,IDT-1446944+945
12208018382,STY_0179,STY,B06,IDT-1446944+945
12207020461,STY_0180,STY,C06,IDT-1446944+945
12207023131,STY_0181,STY,D06,IDT-1446944+945
12208000411,STY_0182,STY,E06,IDT-1446944+945
12208013882,STY_0183,STY,F06,IDT-1446944+945
22207010811,STY_0184,STY,G06,IDT-1446944+945
22207013191,STY_0185,STY,H06,IDT-1446944+945
22207013561,STY_0186,STY,H09,IDT-1446944+945
12206022991,STY_0187,STY,B07,IDT-1446944+945
22206006541,STY_0188,STY,D07,IDT-1446944+945
22206012231,STY_0189,STY,E07,IDT-1446944+945
22206011781,STY_0190,STY,F07,IDT-1446944+945
22206014041,STY_0191,STY,G07,IDT-1446944+945
22206011121,STY_0192,STY,H07,IDT-1446944+945
12206022731,STY_0193,STY,A10,IDT-1446944+945
12205007081,STY_0194,STY,B10,IDT-1446944+945
12205008381,STY_0195,STY,C10,IDT-1446944+945
12205014971,STY_0196,STY,D10,IDT-1446944+945
12205022561,STY_0197,STY,E10,IDT-1446944+945
12205011912,STY_0198,STY,F10,IDT-1446944+945
22205003071,STY_0199,STY,G10,IDT-1446944+945
22205000361,STY_0200,STY,H10,IDT-1446944+945
22204011301,STY_0201,STY,A11,IDT-1446944+945
12204018551,STY_0202,STY,B11,IDT-1446944+945
12204024381,STY_0203,STY,C11,IDT-1446944+945
22204009811,STY_0204,STY,D11,IDT-1446944+945
22204000301,STY_0205,STY,E11,IDT-1446944+945
12203000771,STY_0206,STY,F11,IDT-1446944+945
12203017861,STY_0207,STY,G11,IDT-1446944+945
12204011221,STY_0208,STY,H11,IDT-1446944+945
12203038781,STY_0209,STY,A09,IDT-15156265
22202004521,STY_0210,STY,B09,IDT-15156265
22203006141,STY_0211,STY,C09,IDT-15156265
22203007991,STY_0212,STY,D09,IDT-15156265
12201020511,STY_0213,STY,E09,IDT-15156265
12202030871,STY_0214,STY,F09,IDT-15156265
22202001981,STY_0215,STY,G09,IDT-15156265
22201000401,STY_0216,STY,G06,IDT-15156265
22112008251,STY_0217,STY,A11,IDT-15156265
12201003551,STY_0218,STY,C11,IDT-15156265
12112003191,STY_0219,STY,D11,IDT-15156265
12112007581,STY_0220,STY,E11,IDT-15156265
12112008851,STY_0221,STY,F11,IDT-15156265
22112000091,STY_0222,STY,G11,IDT-15156265
22111003381,STY_0223,STY,H11,IDT-15156265
22111007211,STY_0224,STY,F08,IDT-15156265
12109005021,STY_0225,STY,G08,IDT-15156265
12109019251,STY_0226,STY,A08,IDT-1446944+945
12110020121,STY_0227,STY,B08,IDT-1446944+945
12110019441,STY_0228,STY,C08,IDT-1446944+945
12110051141,STY_0229,STY,D08,IDT-1446944+945
12110022041,STY_0230,STY,F08,IDT-1446944+945
12110050121,STY_0231,STY,G08,IDT-1446944+945
22108007261,STY_0232,STY,E09,IDT-1446944+945
22108012291,STY_0233,STY,A02,IDT-945+023
22110003341,STY_0234,STY,B02,IDT-945+023
12107001421,STY_0235,STY,C02,IDT-945+023
12107038731,STY_0236,STY,D02,IDT-945+023
12205033232,STY_0237,STY,E02,IDT-945+023
12206003452,STY_0238,STY,F02,IDT-945+023
12206006202,STY_0239,STY,G02,IDT-945+023
22205008601,STY_0240,STY,H02,IDT-945+023
22205011321,STY_0241,STY,C08,COVIDSeq Set-1
12108043731,STY_0242,STY,D08,COVIDSeq Set-1
22107005511,STY_0243,STY,E08,COVIDSeq Set-1
12108023931,STY_0244,STY,F08,COVIDSeq Set-1
12105010661,STY_0245,STY,G08,COVIDSeq Set-1
12105018941,STY_0246,STY,H08,COVIDSeq Set-1
12105010811,STY_0247,STY,B12,COVIDSeq Set-1
22105006501,STY_0248,STY,C12,COVIDSeq Set-1
22106004841,STY_0249,STY,D12,COVIDSeq Set-1
22105006651,STY_0250,STY,E12,COVIDSeq Set-1
22106006941,STY_0251,STY,F12,COVIDSeq Set-1
M1L5,BSMRAU_M1L5,Leuconostoc mesenteroids,F09,IDT-1446944+945
M1L6,BSMRAU_M1L6,Leuconostoc citreum,A12,IDT-1446944+945
M1L13,BSMRAU_M1L13,Leuconostoc holzapfelii,E12,IDT-1446944+945
30A,BAU_30A,E.coli,D12,IDT-1446944+945
OM_12009006982,CHM,C.violaceum,A03,IDT-945+023
12205029061,SPN_0178_GPS_R,SPN,D1,IDT-15156265
12211037651,SPN_0205_GPS_R,SPN,D05,IDT-15156265
1014700_OM,SPN_0225_GPS_R,SPN,H8,IDT-15156265
1027360_OM,SPN_0228_GPS_R,SPN,B11,IDT-15156265
1016860_OM,SPN_0266_GPS_R,SPN,H08,IDT-1446944+945
1015890_OM,SPN_0267_GPS_R,SPN,A09,IDT-1446944+945
1015180_OM,SPN_0268_GPS_R,SPN,B09,IDT-1446944+945
1015900_OM,SPN_0269_GPS_R,SPN,C09,IDT-1446944+945
1016000_OM,SPN_0270_GPS_R,SPN,D09,IDT-1446944+945
OM_1041551,SPN_0279_GPS_R,SPN,D5,IDT-1446944+945
OM_1006800,SPN_0293_GPS_R,SPN,H06,IDT-15156265
